Release ID, Filepath, Size, LOC Touched, NR, NFix, NAuth, LOC Added, Max LOC Added, Average LOC Added, Churn, Max Churn, Average Churn
2,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,42,2,0,2,40,38,20.0,38,38,19.0
2,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,39,41,2,0,2,40,39,20.0,39,39,19.5
2,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96,247,7,1,4,182,95,26.0,117,95,16.714285714285715
2,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,88,114,5,0,3,104,87,20.8,94,87,18.8
2,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,71,121,6,0,4,96,70,16.0,71,70,11.833333333333334
2,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,114,171,7,0,4,142,113,20.285714285714285,113,113,16.142857142857142
2,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,342,1055,14,2,4,619,329,44.214285714285715,183,329,13.071428571428571
2,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,84,153,6,0,4,119,83,19.833333333333332,85,83,14.166666666666666
2,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,58,68,3,0,2,63,58,21.0,58,58,19.333333333333332
2,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,129,153,7,1,4,140,122,20.0,127,122,18.142857142857142
2,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,363,840,12,4,3,484,369,40.333333333333336,128,369,10.666666666666666
2,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,242,597,12,4,4,374,224,31.166666666666668,151,224,12.583333333333334
