@relation 'STORM_trainingSet_8-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute ' Size' numeric
@attribute ' LOC Touched' numeric
@attribute ' NR' numeric
@attribute ' NFix' numeric
@attribute ' NAuth' numeric
@attribute ' LOC Added' numeric
@attribute ' Max LOC Added' numeric
@attribute ' Average LOC Added' numeric
@attribute ' Churn' numeric
@attribute ' Max Churn' numeric
@attribute ' Average Churn' numeric
@attribute ' Bugginess' {yes,no}

@data
16,116,7,0,4,116,17,16.571429,116,17,16.571429,no
418,3781,61,3,21,3301,418,54.114754,2821,418,46.245902,yes
37,475,7,0,4,327,54,46.714286,179,37,25.571429,no
22,198,11,1,7,186,22,16.909091,174,22,15.818182,no
23,169,11,1,7,153,23,13.909091,137,23,12.454545,no
28,152,7,0,4,152,28,21.714286,152,28,21.714286,no
41,511,7,0,4,351,57,50.142857,191,41,27.285714,no
93,1188,14,0,11,750,109,53.571429,312,93,22.285714,no
72,890,26,1,16,753,72,28.961538,616,72,23.692308,yes
40,818,32,1,17,590,57,18.4375,362,40,11.3125,yes
72,4367,38,3,18,3964,449,104.315789,3561,426,93.710526,yes
35,350,15,1,11,349,35,23.266667,348,35,23.2,yes
80,3879,40,7,18,3464,207,86.6,3049,186,76.225,yes
30,210,17,1,12,196,30,11.529412,182,30,10.705882,no
38,446,38,1,20,333,38,8.763158,220,38,5.789474,yes
91,908,45,2,21,806,91,17.911111,704,91,15.644444,yes
143,1493,58,5,26,1086,143,18.724138,679,143,11.706897,yes
107,1367,55,5,22,1099,107,19.981818,831,107,15.109091,yes
62,1492,38,1,20,1089,62,28.657895,686,62,18.052632,yes
62,540,29,1,18,396,62,13.655172,252,62,8.689655,yes
40,348,30,1,19,233,40,7.766667,118,40,3.933333,yes
40,344,30,1,19,231,40,7.7,118,40,3.933333,yes
93,361,14,0,11,347,93,24.785714,333,93,23.785714,no
52,344,38,1,20,283,52,7.447368,222,52,5.842105,yes
97,589,26,0,16,549,97,21.115385,509,97,19.576923,no
72,383,23,2,18,341,72,14.826087,299,72,13,no
47,209,7,0,4,209,47,29.857143,209,47,29.857143,no
6,86,7,0,4,86,17,12.285714,86,17,12.285714,no
23,137,7,0,4,137,23,19.571429,137,23,19.571429,no
8,99,14,0,11,92,17,6.571429,85,17,6.071429,no
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
42,215,14,0,11,194,42,13.857143,173,42,12.357143,no
43,197,7,0,4,197,43,28.142857,197,43,28.142857,no
34,191,14,0,11,177,34,12.642857,163,34,11.642857,no
41,191,7,0,4,191,41,27.285714,191,41,27.285714,no
44,200,7,0,4,200,44,28.571429,200,44,28.571429,no
207,862,18,0,13,772,207,42.888889,682,207,37.888889,no
15,113,7,0,4,113,17,16.142857,113,17,16.142857,no
15,113,7,0,4,113,17,16.142857,113,17,16.142857,no
15,113,7,0,4,113,17,16.142857,113,17,16.142857,no
15,113,7,0,4,113,17,16.142857,113,17,16.142857,no
6,86,7,0,4,86,17,12.285714,86,17,12.285714,no
7,89,7,0,4,89,17,12.714286,89,17,12.714286,no
88,422,20,4,14,377,88,18.85,332,88,16.6,yes
12,149,16,0,13,135,17,8.4375,121,17,7.5625,no
17,127,11,1,7,123,17,11.181818,119,17,10.818182,no
11,113,11,2,8,109,17,9.909091,105,17,9.545455,no
14,110,7,0,4,110,17,15.714286,110,17,15.714286,no
