ID, Size, Predicted, Actual
1,78,1.0,no
2,302,1.0,no
3,87,0.9964285714285714,no
4,198,0.975,no
5,175,0.99,no
6,65,1.0,no
7,105,0.9918181818181818,no
8,58,1.0,no
9,196,1.0,no
10,106,1.0,no
11,130,0.9915384615384616,no
12,64,1.0,no
13,132,1.0,no
14,62,1.0,no
15,108,0.21909290709290719,no
16,432,0.99,no
17,174,1.0,no
18,246,0.9914285714285714,yes
19,106,0.9827142857142858,no
20,121,1.0,no
21,110,1.0,no
22,58,1.0,no
23,37,1.0,no
24,77,1.0,no
25,142,1.0,no
26,114,1.0,no
27,80,1.0,no
28,59,1.0,no
29,69,0.99,no
30,95,1.0,no
31,64,0.9705555555555556,no
32,164,1.0,no
33,70,0.98,no
34,32,1.0,no
35,148,1.0,no
36,156,1.0,no
37,119,1.0,no
38,116,0.9916666666666667,no
39,93,1.0,no
40,256,0.9745578947368421,yes
41,123,1.0,no
42,201,1.0,no
43,180,1.0,no
44,156,1.0,no
45,98,1.0,no
46,86,0.99,no
47,48,0.980909090909091,no
48,143,1.0,no
49,145,0.9848571428571428,no
50,113,1.0,no
51,260,0.97125,no
52,618,0.83,no
53,39,0.4424904474610357,no
54,39,1.0,no
55,39,1.0,no
56,24,1.0,no
57,62,1.0,no
58,77,0.44405842768342774,no
59,77,1.0,no
60,54,1.0,no
61,92,0.3900770895770896,no
62,58,1.0,no
63,24,1.0,no
64,64,1.0,no
65,216,0.48721971002853354,no
66,36,1.0,no
67,36,1.0,no
68,208,1.0,no
69,64,0.9916666666666667,no
70,39,0.3945766423119363,no
71,47,0.4010208885541703,no
72,74,1.0,no
73,71,0.45886139024374323,no
74,123,0.982,no
75,44,0.46011956928520403,no
76,122,0.95675,no
77,53,0.9272727272727272,no
78,239,0.4729761904761905,yes
79,44,0.9147164502164502,no
80,171,1.0,no
81,523,0.6936475468975469,no
82,132,0.19339210789210795,no
83,178,0.93325,yes
84,130,0.91,no
85,460,0.7608333333333335,no
86,71,0.4754523809523809,no
87,392,0.5645342712842715,no
88,225,1.0,no
89,42,1.0,no
90,44,1.0,no
91,94,1.0,no
92,136,1.0,no
93,27,1.0,no
94,47,1.0,no
95,60,1.0,no
96,58,1.0,no
97,56,1.0,no
98,209,1.0,no
99,54,0.9518181818181819,yes
100,49,0.3312165857018797,yes
101,32,0.8372819402819403,yes
102,43,0.9578333333333333,yes
103,111,0.9584999999999999,yes
104,29,1.0,yes
105,49,0.9916666666666667,yes
106,78,1.0,yes
107,45,1.0,no
108,31,1.0,no
109,30,0.9922222222222223,no
110,36,1.0,yes
111,43,0.9918181818181818,yes
112,47,0.7463718704845506,no
113,35,0.99,no
114,62,0.46,no
115,64,0.38103448275862073,no
116,30,0.2011588966588967,no
117,154,0.8958214285714285,no
118,53,0.7332298524387171,no
119,45,0.9235792483660131,no
120,68,0.9622619047619048,no
121,68,0.9622619047619048,no
122,60,0.7422719677982836,no
123,60,0.27257223332223335,no
124,85,0.2834718059718059,no
125,92,1.0,no
126,156,0.25301284826284814,no
127,98,0.30606460206460184,no
128,131,0.2410060772560772,no
129,194,0.30097033522033523,yes
130,201,0.36642386779886765,yes
131,69,0.32841050616050615,yes
132,68,0.3845072019483783,no
133,52,0.38653002553002536,no
134,50,0.3616587505631623,no
135,202,0.2952272172272171,no
136,73,1.0,no
137,42,1.0,no
138,35,1.0,no
139,125,1.0,no
140,65,0.9841880341880342,no
141,48,1.0,no
142,89,1.0,no
143,153,1.0,no
144,40,1.0,no
145,64,0.3809753310415075,no
146,99,0.3669350543247602,no
147,73,0.36790867465867466,no
148,72,0.35529122919564093,no
149,51,0.33562731712731697,no
150,36,1.0,no
151,31,0.18993759701770538,no
152,61,0.3503813686313685,no
153,74,0.33710911310911307,no
154,101,0.35327780552780547,no
155,86,0.330538073038073,no
156,106,0.3254371070106364,no
157,91,0.33174759390935854,no
158,58,0.31320659895659886,no
159,106,0.3504821012321012,no
160,143,0.2165399045399045,no
161,52,0.24931354756354757,no
162,88,0.3033730942260354,no
163,66,0.22138492063492055,no
164,44,1.0,no
165,158,0.9880263157894738,no
166,51,1.0,no
167,36,1.0,no
168,63,1.0,no
169,110,0.883015984015984,yes
170,29,0.9166349206349206,no
171,104,0.99,no
172,38,0.9581904761904763,no
173,44,0.9726439393939394,no
174,96,0.99,no
175,42,0.9552896825396826,no
176,48,0.870484126984127,no
177,36,0.4312798174048175,no
178,43,0.32268759018759013,no
179,81,0.30642887504652205,yes
180,75,0.3301784188034187,yes
181,81,0.3080450660450661,yes
182,88,0.33130198967698976,yes
183,42,0.3157181984681985,no
184,82,0.9818859649122806,no
185,55,0.32090352947705886,no
186,48,1.0,no
187,72,1.0,no
188,113,0.3448375097125095,no
189,55,0.3223443223443225,no
190,35,0.3999391763207552,no
191,47,0.44962494449994445,no
192,101,0.09791615564742169,yes
193,109,1.0,no
194,28,0.4414916611166612,no
195,54,0.1511759920906665,no
196,158,0.06919519710141318,no
197,52,0.11167472949027946,no
198,53,0.11166081512484817,no
199,81,0.10678170194820188,no
200,83,0.08999745760395823,yes
201,63,0.08600202636745612,yes
202,48,0.16581686420411096,no
203,55,0.08010207513816014,no
204,149,0.07782021779564517,no
205,263,0.08856377747656229,no
206,179,0.16689969163962964,no
207,37,0.16581670592776607,no
208,25,0.15834077867437002,no
209,30,0.09325221434028663,no
210,36,0.18102661674410905,no
211,30,0.22648020641209493,no
212,27,0.2092856681931759,no
213,37,0.22511824411398706,no
214,33,0.23467951299646336,no
215,31,0.24413838276932232,no
216,56,0.23519339447102602,no
217,101,0.16277399518712066,no
218,139,0.16405738770173758,no
219,85,0.15626360348457874,no
220,95,0.21491932192670843,no
221,60,0.15463867039930904,no
222,35,0.22578367677289135,no
223,26,0.16561996485775923,no
224,69,0.0730402197666692,no
225,64,0.14570640769967735,no
226,39,0.14580347763002982,no
227,41,0.24469615314054338,no
228,167,0.08901979730048448,no
229,66,0.15355174601770147,no
230,93,0.16313847001437862,no
231,86,0.912,no
232,117,0.2636741452991453,no
233,90,0.2345489232989232,no
234,48,0.3699985292485292,no
235,85,1.0,no
236,43,0.4204938117438117,no
237,90,0.3848239342356989,no
238,202,1.0,no
239,141,1.0,yes
240,30,1.0,no
241,29,1.0,no
242,67,0.3366365717615718,yes
243,242,0.4461763068802543,no
244,72,0.97,no
245,50,0.1640040613028073,no
246,89,0.42797164436870316,no
247,40,0.1640968547019114,no
248,49,0.43369825109531007,no
249,249,0.09274833994379378,yes
250,40,0.4384371674077555,no
251,171,0.24408137072765548,no
252,40,0.4143792816660464,no
253,32,0.43792241745182925,no
254,271,1.0,no
255,55,1.0,no
256,80,1.0,no
257,28,1.0,no
258,44,1.0,no
259,83,0.9985714285714287,no
260,67,0.99,no
261,36,1.0,no
262,384,0.37084245982775393,no
263,196,0.39547191697191697,no
264,312,0.41436601633660464,no
265,120,0.3421329683388507,yes
266,315,0.2518022810522811,no
267,112,0.3188610009271774,no
268,119,0.3289911477411476,no
269,146,0.3355468142968144,no
270,86,0.25593320871632214,no
271,69,0.4367697441447442,no
272,88,0.2545192094981939,no
273,42,0.27416492266514125,no
274,32,0.2585212800091492,no
275,56,0.4073204974849712,no
276,102,0.9733333333333333,no
277,56,0.33773627550639934,no
278,89,0.35117617178143495,no
279,40,0.32576907814407813,no
280,80,0.35874404761904766,no
281,46,0.26006394399396315,no
282,46,0.24247033884324323,no
283,68,0.12591951450719457,no
284,80,0.3324012361907098,no
285,66,0.3430381146631147,no
286,100,1.0,no
287,32,1.0,no
288,31,0.31009883172383174,no
289,36,0.35098878898878905,no
290,59,0.3564869574869575,no
291,44,1.0,no
292,29,1.0,no
293,280,0.43282897657897673,no
294,67,0.3169822122322122,no
295,60,1.0,no
296,46,0.98,no
297,133,1.0,no
298,333,1.0,no
299,36,1.0,no
300,44,1.0,no
301,823,0.96,yes
302,26,1.0,no
303,70,1.0,no
304,213,1.0,no
305,192,0.06817015592446392,no
306,562,0.0841611872347531,no
307,46,0.42977981740481747,no
308,31,0.4370220922867981,no
309,83,0.4489115802498154,no
310,71,0.3884961843711845,no
311,83,0.26186591644862534,no
312,40,0.4643628593628592,no
313,32,0.2585212800091492,no
314,57,0.3810276667776667,no
315,97,1.0,no
316,64,0.23112340971721768,no
317,94,0.21525040996441927,no
318,45,0.24239846183228536,no
319,98,0.23652746414531306,no
320,46,0.26006394399396315,no
321,46,0.24247033884324323,no
322,337,0.07935507771382387,no
