ID, Size, Predicted, Actual
1,111,0.9981034487237412,yes
2,22,0.9998186336915048,yes
3,75,0.9995631284573394,no
4,131,0.9980970942084243,yes
5,74,0.9997027527893944,no
6,84,0.9996324519519083,no
7,70,0.9996730000036984,no
8,57,0.9997351165426838,no
9,70,0.9998189286399388,no
10,59,0.9996724674289345,no
11,88,0.9997355472756356,no
12,40,0.9998568196908872,no
13,99,0.9997821386135449,no
14,187,0.9996305826757163,no
15,196,0.9996305826757163,no
16,192,0.9973693114686264,no
17,97,0.999857052547908,no
18,98,0.9997027433222047,no
19,96,0.9997027527893944,no
20,173,0.9996318181875696,no
21,141,0.9994598234289471,no
22,142,0.9996324402464916,no
23,188,0.9991406532295575,no
24,90,0.9995194220777546,no
25,110,0.9994598234289471,no
26,62,0.9998796267790403,no
27,61,0.9998796267790403,no
28,120,0.999863362865087,no
29,116,0.9998782418057374,no
30,58,0.9998884668753523,no
31,74,0.9998782418057374,no
32,75,0.9998425952619482,no
33,49,0.9998420770064629,no
34,102,0.9998737533025911,no
35,62,0.9998737533025911,no
36,107,0.9998762970296299,no
37,51,0.9998884668753523,no
38,43,0.9998420770064629,no
39,73,0.9998796267790403,no
40,42,0.9996758555218397,no
41,82,0.9998425952619482,no
42,83,0.9998631402859727,no
43,466,0.9997810374215587,yes
44,106,0.9998812241543376,no
45,119,0.9998646970125741,no
46,332,0.999874621418393,no
47,91,0.9998425952619482,no
48,84,0.9998884668753523,no
49,123,0.9998061825467961,no
50,263,0.9998428462429899,no
51,99,0.9998748372892979,no
52,259,0.9998748333022357,no
53,1066,0.9995852463454993,no
54,137,0.9998393233727592,no
55,151,0.9998748372892979,no
56,121,0.9998746333994435,yes
57,122,0.9998796267790403,no
58,107,0.9998737533025911,no
59,83,0.9998230733273229,no
60,288,0.9988013652686267,yes
61,504,0.9998530001637237,yes
62,72,0.9998393233727592,no
63,76,0.9998631402859727,no
64,69,0.9998631402859727,no
65,83,0.9997821455526621,no
66,65,0.9998277325180406,no
67,88,0.9997821455526621,no
68,40,0.9998642515172768,no
69,86,0.9997821455526621,no
70,89,0.9998631402859727,no
71,49,0.9998189286399388,no
72,102,0.9998570479943931,no
73,94,0.9998393233727592,no
74,72,0.9998393233727592,no
75,60,0.9998393233727592,no
76,76,0.9998393233727592,no
77,92,0.9997821455526621,no
78,96,0.9997821455526621,no
79,70,0.9998390616401038,no
80,86,0.9997821455526621,no
81,101,0.9998467404404323,no
82,169,0.9998748372892979,no
83,115,0.9998746333994435,no
84,153,0.9997306165440479,no
85,58,0.9998782418057374,no
86,47,0.9998467404404323,no
87,49,0.9998782418057374,no
88,58,0.9998782418057374,no
89,70,0.9998782418057374,no
90,141,0.9998784398277768,no
91,93,0.9998782418057374,no
92,273,0.9998534919119539,no
93,96,0.9996152060361904,no
94,50,0.9998782418057374,no
95,241,0.9997306079640669,no
96,195,0.9995163823597899,no
97,131,0.999863362865087,no
98,170,0.999863362865087,yes
99,161,0.9995163823597899,no
100,102,0.9996188270356893,no
101,150,0.9995171993582839,no
102,65,0.9997301777822305,no
103,88,0.9997821455526621,no
104,40,0.9998631402859727,no
105,57,0.9998631402859727,no
106,39,0.9998631402859727,no
107,85,0.9997821455526621,no
108,93,0.9997821455526621,no
109,87,0.9998393233727592,no
110,81,0.9998393233727592,no
111,95,0.9997817907010704,no
112,66,0.9998884668753523,no
113,94,0.9997961405576521,no
114,76,0.9997964720782815,no
115,116,0.9998393182545817,no
116,56,0.9998390616401038,no
117,48,0.9998631402859727,no
118,71,0.999863362865087,no
119,45,0.9998390616401038,no
120,45,0.9998631402859727,no
121,30,0.9998796267790403,no
122,74,0.9996324402464916,no
123,299,0.9994405677676549,yes
124,82,0.9987789637396556,yes
125,197,0.9972519146678175,no
126,173,0.9991773799833984,no
127,84,0.9998390616401038,no
128,75,0.999805866840191,yes
129,65,0.9979863830242112,no
130,96,0.9994030401707589,no
131,176,0.9998570479943931,no
132,193,0.9997278865792707,no
133,157,0.985680228396942,no
134,88,0.9996318181875696,no
135,67,0.9996324519519083,no
136,92,0.9996318181875696,no
137,56,0.9998280126719793,no
138,102,0.9807281919735364,yes
139,138,0.9998280126719793,no
140,106,0.9998280126719793,no
141,174,0.9998271378066834,no
142,244,0.9995090607150616,no
143,101,0.9972928071854871,yes
144,113,0.9998280071935739,no
145,110,0.9998784359554597,no
146,58,0.9998784398277768,no
147,37,0.9998782418057374,no
148,77,0.9998061825467961,no
149,142,0.9998058482885256,no
150,118,0.9998058482885256,no
151,80,0.9998189286399388,no
152,59,0.9998784398277768,no
153,69,0.9996324519519083,no
154,95,0.9998051966576355,no
155,97,0.9995194067743709,no
156,82,0.99738259296737,no
157,67,0.9995172147319236,no
158,110,0.9995172147319236,no
159,103,0.9995172147319236,no
160,111,0.9994030591773557,no
161,82,0.9995172147319236,no
162,56,0.9994020872212854,yes
163,73,0.9995172147319236,no
164,100,0.9995172147319236,no
165,70,0.9998393233727592,yes
166,32,0.9998782418057374,no
167,148,0.9998051966576355,no
168,156,0.9998051966576355,no
169,119,0.9997821386135449,yes
170,116,0.9992379713576954,no
171,73,0.9997306165440479,no
172,84,0.9997821386135449,no
173,122,0.9988310930960613,no
174,191,0.9987206692030404,no
175,170,0.9987354681968434,no
176,153,0.9997292463782042,no
177,78,0.9997821386135449,no
178,84,0.9981066481373522,no
179,140,0.999819147269106,no
180,127,0.9994030591773557,yes
181,30,0.9998660528978585,no
182,80,0.9998664924822285,no
183,45,0.9997821455526621,no
184,63,0.9998390616401038,no
185,141,0.9998280126719793,no
186,81,0.9994020872212854,no
187,45,0.9994030591773557,no
188,63,0.9997817907010704,no
189,190,0.9998393233727592,no
190,74,0.9995164285572468,no
191,47,0.9997821386135449,no
192,65,0.9998390616401038,no
193,253,0.9998393182545817,no
194,32,0.9998660528978585,no
195,61,0.9987032022473499,no
196,86,0.9987032022473499,no
197,93,0.99961133370964,no
198,157,0.9985351703851353,no
199,99,0.9992392825485599,no
200,132,0.9861547194348089,no
201,212,0.9861088871313979,no
202,201,0.9979086726769711,no
203,62,0.9991449994608869,no
204,68,0.9993847385291837,no
205,52,0.9997351165426838,no
206,50,0.999383736761306,no
207,321,0.9960870438380778,no
208,79,0.9997355472756356,no
209,42,0.9998568196908872,no
210,35,0.9998568196908872,no
211,125,0.9992392583312844,no
212,65,0.9998061825467961,no
213,48,0.999805866840191,no
214,89,0.9997355472756356,no
215,314,0.9995145528817819,no
216,40,0.9998186336915048,no
217,64,0.9995624309509414,no
218,58,0.9998782418057374,no
219,99,0.9991449994608869,no
220,73,0.9992392825485599,no
221,72,0.9992392825485599,no
222,36,0.9998568196908872,no
223,51,0.9997817907010704,no
224,36,0.999383736761306,no
225,31,0.999143607684681,no
226,61,0.9981067083415653,no
227,74,0.9997964720782815,no
228,101,0.9991449994608869,no
229,86,0.9997821455526621,no
230,36,0.9998681587041797,no
231,106,0.9997821386135449,no
232,93,0.9998568196908872,no
233,91,0.9997821386135449,no
234,58,0.9997821455526621,no
235,106,0.9997821386135449,no
236,138,0.9998189286399388,no
237,83,0.9988013652686267,no
238,53,0.9994598406285996,no
239,88,0.9997821455526621,no
240,72,0.9991449994608869,no
241,241,0.9998570479943931,no
242,106,0.999805866840191,no
243,44,0.999383736761306,no
244,158,0.9992354152204757,no
245,51,0.9992392825485599,no
246,36,0.999383736761306,no
247,226,0.9998189228722274,no
248,64,0.9998685913786735,no
249,127,0.9998568196908872,no
250,67,0.9998685913786735,no
251,104,0.9998685913786735,no
252,213,0.9998784398277768,no
253,35,0.9998681587041797,no
254,105,0.9998568196908872,no
255,117,0.9998568196908872,no
256,63,0.9987032022473499,no
257,116,0.9991842247851437,no
258,29,0.9998782418057374,no
259,104,0.9998782301694933,no
260,38,0.9998782418057374,no
261,44,0.9998784398277768,no
262,96,0.9998784359554597,no
263,42,0.999857052547908,no
264,48,0.9998784398277768,no
265,62,0.9998522931050717,no
266,42,0.9961834966773196,no
267,99,0.6114497089582427,no
268,87,0.4073964012126261,yes
269,99,0.9495227759912112,yes
270,102,0.4065875597205617,yes
271,62,0.9961836177994832,no
272,134,0.9936536967546896,yes
273,64,0.9973254192081384,no
274,55,0.9985425280744923,yes
275,69,0.9998522931050717,no
276,43,0.9998518067750259,no
277,91,0.9998522931050717,no
278,42,0.9998518067750259,no
279,63,0.9998631402859727,no
280,43,0.9998518067750259,no
281,80,0.9998522931050717,no
282,63,0.9998522931050717,no
283,85,0.9998522931050717,no
284,141,0.6328349995381277,yes
285,54,0.899224138984571,no
286,35,0.9944064761382644,no
287,47,0.9992392583312844,no
288,146,0.3965782386654716,no
289,111,0.9992264380203729,no
290,28,0.9979192367957549,no
291,74,0.9996730000036984,no
292,78,0.9513556848605095,no
293,48,0.9998568196908872,no
294,41,0.9998808330694161,no
295,46,0.9998685913786735,no
296,166,0.6285678054950065,no
297,262,0.7799764207417634,no
298,256,0.9693805404835746,no
299,28,0.9987770157725646,no
300,44,0.99371698275099,no
301,28,0.9998420770064629,no
302,33,0.9987770157725646,no
303,30,0.9996324519519083,no
304,27,0.9997817907010704,no
305,37,0.9991449994608869,no
306,33,0.9997817907010704,no
307,31,0.9997306165440479,no
308,56,0.9997821386135449,no
309,101,0.9997810374215587,no
310,34,0.9998420770064629,no
311,133,0.9965127705272971,no
312,84,0.999143525900719,no
313,74,0.9998061825467961,no
314,95,0.999779937674191,no
315,60,0.999143525900719,no
316,35,0.9991449994608869,no
317,26,0.9997817907010704,no
318,68,0.9961770599415438,no
319,64,0.8952197498856276,no
320,39,0.9987790025919387,no
321,41,0.9997821455526621,no
322,159,0.9873306298263848,no
323,66,0.7950178085561783,no
324,86,0.999143525900719,no
325,85,3.775215713665174E-6,no
326,117,4.467154379915707E-6,no
327,127,0.0860678634247013,no
328,48,0.9991449994608869,no
329,101,0.9994589093910804,no
330,43,0.9924295325667658,no
331,90,0.999143525900719,no
332,239,0.9994405677676549,no
333,189,0.9955025773154395,no
334,30,0.9998186336915048,no
335,29,0.9998186336915048,no
336,103,0.28481251955245523,yes
337,438,0.9998642298947668,no
338,156,0.999863362865087,no
339,166,0.9996324519519083,no
340,50,0.9997821455526621,no
341,89,0.999143525900719,no
342,40,0.9995172147319236,no
343,49,0.9965705192128184,no
344,271,5.441237822110171E-4,no
345,40,0.9991449994608869,no
346,171,0.0025895295493022566,no
347,40,0.9987790025919387,no
348,32,0.999143607684681,no
349,271,0.999651873157306,no
350,55,0.9997599472692346,no
351,80,0.999308448718718,yes
352,28,0.9997961405576521,no
353,44,0.9997961405576521,no
354,83,0.9997027433222047,no
355,67,0.9997027527893944,no
356,36,0.9997961405576521,no
357,384,0.9997743699201274,no
358,196,0.9998390462600742,no
359,312,0.9993302142322775,no
360,125,0.9996324402464916,no
361,340,1.2017487552539223E-16,yes
362,112,0.4053790876924684,no
363,119,1.302382055734834E-4,no
364,146,0.0023612409035256975,no
365,35,0.9998742206163344,no
366,86,0.9997306165440479,no
367,69,0.9987273644254774,no
368,88,0.9997821455526621,no
369,42,0.9997301777822305,no
370,32,0.9997817907010704,no
371,56,0.9741298962899083,no
372,102,0.9997027433222047,no
373,56,0.9996318533621088,no
374,89,0.9991856283801213,no
375,40,0.9997301777822305,no
376,80,0.9955473674779235,no
377,46,0.9997817907010704,no
378,46,0.9998277325180406,no
379,69,0.9998277325180406,no
380,80,0.9998631402859727,no
381,66,0.9998631402859727,no
382,100,0.999839097206638,no
383,32,0.9998568196908872,no
384,31,0.9998746333994435,no
385,36,0.9998631402859727,no
386,59,0.9998746333994435,no
387,44,0.9997603376340626,no
388,29,0.999312475254385,no
389,60,0.9998469896870326,no
390,129,0.9996729895892056,no
391,133,0.9997599243304776,no
392,333,0.9997416748308883,no
393,36,0.999805866840191,no
394,44,0.999805866840191,no
395,848,2.425272061612002E-4,no
396,26,0.9998782418057374,no
397,70,0.9998784398277768,no
398,213,0.999756288847831,no
399,192,0.9979524920410803,no
400,555,7.125316658357754E-5,no
401,46,0.9987273644254774,no
402,31,0.9987252936871944,no
403,83,0.9998469896870326,no
404,71,0.9987273644254774,no
405,83,0.9997821455526621,no
406,40,0.9998568196908872,no
407,32,0.9997817907010704,no
408,57,0.9979864470448625,no
409,97,0.9997027433222047,no
410,64,0.99371698275099,no
411,94,0.9739711835944044,no
412,45,0.9965649510863874,no
413,98,0.18948631895532483,no
414,46,0.9997817907010704,no
415,46,0.9998277325180406,no
416,333,4.619789040994788E-16,no
417,143,0.9406076094911128,no
418,81,0.9861547194348089,no
419,132,0.47866087782169736,yes
420,159,8.961326630657356E-4,no
421,118,0.9806326472534767,no
422,484,5.80935357395999E-4,no
423,303,2.795336566962645E-4,no
424,49,0.8956453725809745,no
425,32,0.9739306918033529,no
426,103,0.0643777468590883,yes
427,106,0.06417617984845643,yes
428,83,0.6122456162977642,yes
429,111,0.9934155759874477,no
430,42,0.9985425744389692,no
431,73,0.9730091360639285,yes
432,261,0.9383426062276459,yes
433,75,0.9997301519995536,no
434,43,0.99371698275099,no
435,33,0.9991449994608869,no
436,66,0.34171746167738437,yes
437,99,0.6114497089582427,yes
438,40,0.9996324519519083,no
439,160,0.128555892197346,no
440,40,0.9987790025919387,no
441,32,0.9996324519519083,no
442,46,0.9998631402859727,no
443,48,0.9998631402859727,no
444,58,0.9998631402859727,no
445,219,0.9998631272066973,no
446,58,0.9998631402859727,no
447,514,0.9959390146017607,no
448,27,0.999888099635363,no
449,129,0.9998633585125567,no
450,40,0.9998277325180406,no
451,38,0.9998884668753523,no
452,409,0.9995167342739449,no
453,219,0.9997278865792707,yes
