ID, Size, Predicted, Actual
1,78,0.9999601035540959,no
2,87,0.999998348465116,no
3,68,0.9999988004320453,no
4,105,0.9999983167259802,no
5,58,0.9999958071881079,no
6,196,0.9999918077487467,no
7,132,0.9999907112536329,no
8,64,0.9999988047871103,no
9,134,0.999998086942557,no
10,174,0.9999948853579944,no
11,246,0.9999956293995836,no
12,107,0.9999978313338159,no
13,121,0.9999987300517782,no
14,110,0.9999909175039309,no
15,58,0.9999988129818811,no
16,37,0.9999988145449604,no
17,77,0.9999986883510568,no
18,142,0.9999903277167307,no
19,114,0.999998620619276,no
20,59,0.9999988110067914,no
21,64,0.9999988047871103,no
22,164,0.9999979229287589,no
23,70,0.9999987943150529,no
24,32,0.9999988125092847,no
25,148,0.9999983552410817,no
26,156,0.9999982222513402,no
27,119,0.9999985956664672,no
28,118,0.9999985956664672,no
29,230,0.9999925103891828,no
30,156,0.9999982222513402,no
31,85,0.999998357059414,no
32,48,0.9999742160589887,yes
33,263,0.9999698311532177,no
34,594,0.9869334774415714,yes
35,39,0.9999985049751335,no
36,39,0.9999990134821001,no
37,39,0.9999990134821001,no
38,24,0.9999990089291967,no
39,62,0.9999985285021495,no
40,77,0.9999985244071062,no
41,77,0.999998980153685,no
42,54,0.9999990159831204,no
43,90,0.9999951042395608,no
44,58,0.9999990108356794,no
45,24,0.9999990089291967,no
46,64,0.9999990045116639,no
47,216,0.9999978322348086,no
48,36,0.9999990135399806,no
49,36,0.9999990135399806,no
50,208,0.9999982922468678,no
51,74,0.9999989901392731,no
52,71,0.9999985288842079,no
53,56,0.9999866073334058,no
54,44,0.9999985208123863,no
55,55,0.9999866073334058,no
56,36,0.9999958803601354,no
57,43,0.9999862400606184,no
58,81,0.9995867282036494,no
59,75,0.999274308625327,no
60,81,0.9999070549519273,no
61,88,0.9992738744595691,no
62,42,0.9999861834681181,no
63,82,0.9999818041842609,no
64,55,0.9999886789398945,no
65,48,0.9999926922136548,no
66,72,0.9999984927273574,no
67,113,0.9995602930422273,no
68,55,0.9998907497926722,no
69,35,0.9999849622802812,no
70,47,0.9999959148448095,no
71,101,0.9991406218515921,yes
72,109,0.9999955835829718,no
73,28,0.999990984899028,no
74,54,0.9999988067166218,yes
75,158,0.9999947412711715,yes
76,52,0.9999950480901756,yes
77,53,0.9999982156280568,yes
78,81,0.9999982076221101,yes
79,83,0.9999960157394329,yes
80,63,0.9999960176035984,yes
81,48,0.9999988128910778,yes
82,55,0.9999294753219524,yes
83,149,0.9995219901058998,yes
84,263,0.9997307491121926,yes
85,179,0.9998949982094785,yes
86,37,0.9999988043327926,yes
87,25,0.9999938784375075,yes
88,30,0.9999819217545906,yes
89,36,0.999993897815753,yes
90,30,0.9999973905626308,yes
91,27,0.9999981801181467,yes
92,37,0.9999949881914394,yes
93,33,0.9999981847560577,yes
94,31,0.9999979944434509,yes
95,56,0.9999982164975849,yes
96,101,0.9999981469080385,yes
97,139,0.9999877847297486,yes
98,85,0.9999950621457983,yes
99,95,0.9999981127963937,yes
100,60,0.9999950491463515,yes
101,35,0.9999949776860019,yes
102,26,0.9999981801181467,yes
103,69,0.999986294789995,yes
104,64,0.9998765572612909,yes
105,39,0.9999939562448241,yes
106,41,0.9999981975979468,yes
107,167,0.9999682928701102,yes
108,66,0.9998080689934261,yes
109,93,0.9999950450339055,yes
110,76,0.4566738560886358,no
111,77,0.34206260399367827,no
112,83,0.9975232924843247,no
113,48,0.9999950140548975,no
114,85,0.9999964992217695,no
115,43,0.9999736099840566,no
116,90,0.9999950592353376,no
117,202,0.999995418838286,no
118,135,0.9999818251972915,no
119,30,0.999998523322005,no
120,29,0.9999985202266747,no
121,67,0.9982325677049605,yes
122,242,0.9999968428706845,no
123,64,0.9999743074519758,yes
124,50,0.9999982166274034,yes
125,89,0.9999950674167046,no
126,40,0.9999959929491984,yes
127,49,0.9999883063624972,no
128,249,0.9397849256936041,yes
129,40,0.9999949841412602,no
130,171,0.9783415571478957,no
131,40,0.999993932651532,no
132,32,0.9999949451669824,no
133,139,8.38100462127245E-10,yes
134,131,0.8179864308979965,yes
135,149,0.9612718160883038,yes
136,86,0.9999980156443569,no
137,69,0.9999944414268361,no
138,88,0.9999982102137706,no
139,42,0.9999979587812226,no
140,32,0.9999981586287499,no
141,56,0.999959257246255,no
142,51,0.9999973871873477,yes
143,81,0.9999942418387938,yes
144,35,0.9999979655643714,yes
145,72,0.9999824610402784,yes
146,46,0.9999981773766243,no
147,46,0.9999985411747291,no
148,44,0.9999983405132651,no
149,29,0.9999964427525508,no
150,280,0.9999961437461853,no
151,63,0.9996290064590382,yes
152,101,0.9999919299098977,yes
153,562,0.36608822942313807,yes
154,46,0.9999943690126576,no
155,31,0.9999943280042564,no
156,83,0.9999988171265447,no
157,71,0.9999944414268361,no
158,83,0.9999982064766313,no
159,40,0.9999988063016108,no
160,32,0.9999981586287499,no
161,57,0.9999920376279546,no
162,64,0.9999818926733715,yes
163,94,0.9999426909310702,yes
164,45,0.9999880764396334,yes
165,98,0.9986598253240905,yes
166,46,0.9999981773766243,no
167,46,0.9999985411747291,no
168,328,4.257531056116786E-9,yes
169,143,0.9998174752422708,no
170,81,0.9999599984415581,no
171,132,0.9978329353081293,no
172,157,0.8594144062402959,yes
173,76,0.99992745028063,yes
174,419,0.5483422315814731,yes
175,306,0.45547084009605426,yes
176,48,0.9998552598133892,yes
177,31,0.9999411947266887,yes
178,62,0.9973033330151145,yes
179,96,0.9972929845585548,yes
180,77,0.9995876733391088,yes
181,111,0.9999832087010361,yes
182,43,0.9999925073329123,yes
183,63,0.9999351279941711,yes
184,235,0.9998709856887922,yes
185,75,0.999998028249791,no
186,43,0.9999817613864176,no
187,33,0.9999949580801378,no
188,63,0.9993995400086533,no
189,94,0.9995880683170746,yes
190,40,0.9999974130740702,no
191,160,0.9986745635813961,yes
192,40,0.9999939607240871,no
193,32,0.9999973972126938,no
194,86,0.9999950857514485,no
195,25,0.9999984989428498,no
196,178,0.9886594294324511,yes
197,94,0.999988567382193,no
198,184,0.9999393266886795,yes
199,29,0.9999988018076593,no
200,29,0.9999973329397489,yes
201,52,0.9895200399808232,yes
202,43,0.9999988106132737,no
203,199,0.95503925341374,yes
204,240,2.297029509374074E-11,yes
205,28,0.9999964357508943,no
206,37,0.9999950042579563,no
207,69,0.9998988717031043,no
208,28,0.9999985018413456,no
209,303,1.5031110584552163E-76,yes
210,47,0.9982277452026688,no
211,51,0.9999887333084059,no
212,38,0.9999988146352647,no
213,52,0.9999988192631966,no
214,37,0.9999964855544741,no
215,46,0.9999950582750711,no
216,25,0.9999987783208815,no
217,113,0.9997695288698397,yes
218,36,0.9999985202734735,no
219,116,0.9999703573660882,no
220,187,0.5544075730848167,yes
221,48,0.9999983341570273,no
222,32,0.9999991524677267,no
223,34,0.9999991518784314,no
224,26,0.9999992025607178,no
225,50,0.9999887656113172,no
226,31,0.9999988125092847,no
227,98,0.9999883977323919,no
228,26,0.9999988002322582,no
229,25,0.9999884781195661,no
230,40,0.9999988146352647,no
231,59,0.9998772109256625,yes
232,36,0.999988682399375,no
233,58,0.9999710829002059,yes
234,37,0.9999988145449604,no
235,281,0.9295367375246927,yes
236,99,0.9999950808300537,no
237,57,0.9999988233899126,no
238,31,0.9999991494397511,no
239,70,0.9999887500745611,no
240,41,0.9999991504795851,no
241,28,0.9999991518784314,no
242,34,0.9999991518784314,no
243,26,0.9999992025607178,no
244,109,0.9200430424417371,no
245,133,0.9893013924030957,no
246,121,0.8691582847670754,no
247,131,0.9999948858053452,no
248,163,0.9995434844804348,no
249,65,0.9995741083212346,no
250,53,0.9999851640849914,no
251,37,0.999959279292183,no
252,76,0.9997570536844317,yes
253,70,0.9999710829002059,no
254,43,0.9999705485157494,no
255,29,0.9999958068075508,no
256,24,0.9999957934915209,no
257,41,0.9999925801880118,no
258,137,0.9999942349636293,yes
259,95,0.9999921978753463,yes
260,96,0.9999825653225273,yes
261,56,0.9999957925555694,yes
262,40,0.999994358146563,yes
263,350,0.8362207885403091,yes
264,112,0.9948470964447741,no
265,71,0.9999316806667626,yes
266,93,0.9998461304091918,yes
267,381,0.8074884980808688,yes
268,115,0.9987606405972218,no
269,69,0.9999596762484021,yes
270,98,0.9998452227073158,yes
271,136,0.9995500840333571,no
272,59,0.9999959336303006,no
273,30,0.9999958528762684,no
