ID, Size, Predicted, Actual
1,215,0.002222222222222222,no
2,271,0.002222222222222222,yes
3,458,0.002222222222222222,yes
4,137,0.0011135857461024498,yes
5,357,0.002222222222222222,yes
6,1242,0.9977777777777777,yes
7,51,0.002222222222222222,no
8,154,0.002222222222222222,yes
9,31,0.002222222222222222,no
10,928,0.002222222222222222,no
11,180,0.0011135857461024498,no
12,260,0.002222222222222222,yes
13,551,0.002222222222222222,yes
14,40,0.002222222222222222,no
15,361,0.002222222222222222,yes
16,388,0.002222222222222222,yes
17,51,0.0011135857461024498,no
18,577,0.002222222222222222,no
19,32,7.429420505200594E-4,no
20,66,0.002222222222222222,no
21,188,0.002222222222222222,yes
22,582,0.002222222222222222,no
23,158,0.002222222222222222,yes
24,50,0.002222222222222222,no
25,27,0.002222222222222222,no
26,928,0.002222222222222222,yes
27,60,0.002222222222222222,no
28,62,0.002222222222222222,no
29,87,0.002222222222222222,no
30,52,0.002222222222222222,no
31,268,0.002222222222222222,no
32,163,0.002222222222222222,no
33,109,0.002222222222222222,no
34,147,0.0011135857461024498,no
35,58,0.002222222222222222,no
36,44,0.002222222222222222,no
37,106,0.002222222222222222,no
38,139,0.002222222222222222,no
39,326,0.002222222222222222,no
40,648,0.002222222222222222,no
41,778,0.002222222222222222,yes
42,314,0.002222222222222222,yes
43,55,0.002222222222222222,no
44,191,0.9977777777777777,no
45,90,0.002222222222222222,no
46,273,0.002222222222222222,no
47,137,0.002222222222222222,no
48,79,0.0011135857461024498,no
49,82,0.0011135857461024498,no
50,147,0.0011135857461024498,no
51,422,0.002222222222222222,no
52,978,0.002222222222222222,yes
53,467,0.002222222222222222,yes
54,189,0.002222222222222222,no
55,153,0.002222222222222222,no
56,84,0.002222222222222222,yes
57,182,0.002222222222222222,no
58,358,0.002222222222222222,no
59,126,0.002222222222222222,no
60,106,0.002222222222222222,no
61,109,0.002222222222222222,no
62,85,0.0011135857461024498,no
63,236,0.002222222222222222,no
64,314,0.002222222222222222,yes
65,694,0.002222222222222222,yes
66,27,5.574136008918618E-4,no
67,89,0.002222222222222222,no
68,301,0.002222222222222222,yes
69,153,0.002222222222222222,no
70,92,0.0011135857461024498,no
71,466,0.002222222222222222,no
72,93,0.0011135857461024498,no
73,244,0.002222222222222222,no
74,192,0.002222222222222222,no
75,250,0.0011135857461024498,yes
76,109,0.002222222222222222,no
77,601,0.002222222222222222,no
78,565,0.002222222222222222,yes
79,69,0.002222222222222222,no
80,77,0.002222222222222222,no
81,94,0.0011135857461024498,no
82,337,0.002222222222222222,no
83,214,0.0011135857461024498,no
84,79,0.0011135857461024498,no
85,25,0.0011135857461024498,no
86,84,0.0011135857461024498,no
87,34,0.0011135857461024498,no
88,33,0.0011135857461024498,no
89,104,0.0011135857461024498,no
90,172,0.0011135857461024498,no
91,70,0.002222222222222222,no
92,140,0.0011135857461024498,no
93,154,0.0011135857461024498,yes
94,248,0.002222222222222222,no
95,275,0.002222222222222222,yes
96,176,0.002222222222222222,no
97,624,0.002222222222222222,yes
98,91,0.002222222222222222,yes
99,58,0.002222222222222222,yes
100,132,0.0011135857461024498,no
101,4088,0.002222222222222222,no
102,558,0.002222222222222222,no
103,727,0.002222222222222222,yes
104,150,0.0011135857461024498,yes
105,503,0.002222222222222222,yes
106,325,0.002222222222222222,no
107,273,0.002222222222222222,yes
108,136,0.9977777777777777,no
109,56,0.0011135857461024498,no
110,74,0.002222222222222222,no
111,357,0.002222222222222222,yes
112,174,0.0011135857461024498,no
113,148,0.0011135857461024498,no
114,92,0.0011135857461024498,no
115,45,0.0011135857461024498,no
116,168,0.002222222222222222,no
117,77,0.002222222222222222,no
118,664,0.002222222222222222,yes
119,88,0.002222222222222222,no
120,260,0.002222222222222222,yes
121,54,0.0011135857461024498,no
122,48,0.0011135857461024498,no
123,140,0.0011135857461024498,no
124,152,0.0011135857461024498,no
125,39,0.0011135857461024498,no
126,131,0.0011135857461024498,no
127,47,0.002222222222222222,no
128,129,0.0011135857461024498,no
129,43,0.002222222222222222,no
130,243,0.0011135857461024498,no
131,62,0.002222222222222222,no
132,45,0.002222222222222222,no
133,94,0.0011135857461024498,yes
134,72,0.0011135857461024498,no
135,42,5.574136008918618E-4,no
136,48,0.0011135857461024498,no
137,89,0.0011135857461024498,no
138,380,0.002222222222222222,no
139,138,0.002222222222222222,yes
140,142,0.002222222222222222,yes
141,191,0.002222222222222222,no
142,46,0.0011135857461024498,no
143,165,0.002222222222222222,no
144,171,0.002222222222222222,no
145,56,0.0011135857461024498,no
146,179,0.002222222222222222,no
147,74,0.0011135857461024498,no
148,36,0.002222222222222222,no
149,37,7.429420505200594E-4,no
150,34,0.002222222222222222,no
151,34,0.002222222222222222,no
152,38,0.0011135857461024498,no
153,39,0.0011135857461024498,no
154,156,0.0011135857461024498,no
155,84,0.0011135857461024498,no
156,117,0.0011135857461024498,no
157,94,0.0011135857461024498,no
158,71,0.0011135857461024498,no
159,183,0.002222222222222222,no
160,85,0.0011135857461024498,no
161,183,0.002222222222222222,no
162,70,7.429420505200594E-4,no
163,54,0.002222222222222222,no
164,160,0.002222222222222222,no
165,125,0.002222222222222222,no
166,151,0.9977777777777777,no
167,421,0.9977777777777777,yes
168,219,0.0011135857461024498,yes
169,50,7.429420505200594E-4,no
170,42,0.002222222222222222,no
171,624,0.002222222222222222,no
172,377,0.002222222222222222,no
173,383,0.002222222222222222,no
174,72,0.0011135857461024498,no
175,92,0.0011135857461024498,no
176,284,0.002222222222222222,yes
177,371,0.002222222222222222,no
178,47,0.002222222222222222,no
179,108,0.0011135857461024498,no
180,111,0.0011135857461024498,no
181,319,0.0011135857461024498,no
182,129,0.0011135857461024498,no
183,49,0.0011135857461024498,no
184,358,0.002222222222222222,no
185,277,0.0011135857461024498,no
186,49,0.0011135857461024498,no
187,89,0.002222222222222222,no
188,41,0.0011135857461024498,no
189,66,0.0011135857461024498,no
190,63,0.002222222222222222,no
191,24,0.0011135857461024498,no
192,50,7.429420505200594E-4,no
193,72,0.0011135857461024498,no
194,47,0.002222222222222222,no
195,47,0.0011135857461024498,no
196,183,0.0011135857461024498,no
197,49,0.0011135857461024498,no
198,50,7.429420505200594E-4,no
199,98,0.0011135857461024498,no
200,143,0.002222222222222222,no
201,43,0.0011135857461024498,no
202,42,5.574136008918618E-4,no
