Release ID, Filepath, Size, LOC Touched, NR, NFix, NAuth, LOC Added, Max LOC Added, Average LOC Added, Churn, Max Churn, Average Churn, Bugginess
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,144,625,19,3,9,422,144,22.210526315789473,219,144,11.526315789473685,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,802,24,1,11,464,145,19.333333333333332,126,109,5.25,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181,2716,55,10,22,1500,178,27.272727272727273,284,178,5.163636363636364,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154,1215,39,6,16,946,158,24.256410256410255,677,158,17.358974358974358,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,2165,88,15,30,1266,209,14.386363636363637,367,209,4.170454545454546,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,446,22,1,14,401,76,18.227272727272727,356,75,16.181818181818183,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,638,14,1,4,598,521,42.714285714285715,558,521,39.857142857142854,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,9763,150,26,44,6369,573,42.46,2975,573,19.833333333333332,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,232,4,2,4,168,148,42.0,104,148,26.0,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,218,6,0,4,197,173,32.833333333333336,176,173,29.333333333333332,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,185,7,0,5,166,147,23.714285714285715,147,147,21.0,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,1604,10,1,4,846,763,84.6,88,763,8.8,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,2163,57,7,30,1370,224,24.035087719298247,577,209,10.12280701754386,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,66,4,0,4,60,54,15.0,54,54,13.5,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,212,9,2,7,119,38,13.222222222222221,26,38,2.888888888888889,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,1108,17,3,10,694,192,40.8235294117647,280,163,16.470588235294116,true
