@relation 'BOOKKEEPER_trainingSet_4-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute ' Size' numeric
@attribute ' LOC Touched' numeric
@attribute ' NR' numeric
@attribute ' NFix' numeric
@attribute ' NAuth' numeric
@attribute ' LOC Added' numeric
@attribute ' Max LOC Added' numeric
@attribute ' Average LOC Added' numeric
@attribute ' Churn' numeric
@attribute ' Max Churn' numeric
@attribute ' Average Churn' numeric
@attribute ' Bugginess' {no,yes}

@data
37,43,2,0,2,40,37,20,37,37,18.5,no
47,67,3,0,1,57,51,19,47,51,15.666667,no
31,31,1,0,1,31,31,31,31,31,31,no
90,122,5,1,4,106,68,21.2,90,68,18,no
223,519,13,2,4,370,153,28.461538,221,153,17,no
214,255,4,0,2,234,153,58.5,213,153,53.25,no
107,127,6,1,4,116,72,19.333333,105,72,17.5,no
37,37,1,0,1,37,37,37,37,37,37,no
27,27,1,0,1,27,27,27,27,27,27,no
48,48,1,0,1,48,48,48,48,48,48,no
166,173,4,2,3,170,149,42.5,167,149,41.75,yes
213,271,5,1,2,242,163,48.4,213,163,42.6,no
866,877,2,1,2,872,866,436,867,866,433.5,yes
159,222,4,0,2,190,118,47.5,158,118,39.5,no
100,115,3,1,2,104,100,34.666667,93,100,31,no
96,104,2,1,1,100,96,50,96,96,48,no
841,966,10,4,3,903,559,90.3,840,559,84,yes
525,711,21,2,4,623,364,29.666667,535,364,25.47619,no
83,85,2,1,1,84,77,42,83,77,41.5,no
63,63,1,0,1,63,63,63,63,63,63,no
76,80,2,0,2,78,76,39,76,76,38,no
202,206,3,1,2,204,190,68,202,190,67.333333,no
155,201,8,1,4,178,158,22.25,155,158,19.375,yes
1262,2319,19,7,5,1791,736,94.263158,1263,736,66.473684,yes
74,78,2,0,2,76,74,38,74,74,37,no
101,133,6,0,4,117,93,19.5,101,93,16.833333,no
27,27,1,0,1,27,27,27,27,27,27,no
22,22,1,0,1,22,22,22,22,22,22,no
489,541,10,1,5,516,426,51.6,491,426,49.1,yes
62,62,1,0,1,62,62,62,62,62,62,no
59,67,3,0,3,63,58,21,59,58,19.666667,no
99,109,4,0,3,104,91,26,99,91,24.75,no
27,29,2,0,2,28,27,14,27,27,13.5,no
77,81,2,0,2,79,77,39.5,77,77,38.5,no
846,1385,17,5,4,1125,703,66.176471,865,703,50.882353,no
64,68,3,2,1,66,64,22,64,64,21.333333,no
45,45,1,0,1,45,45,45,45,45,45,no
63,71,2,0,2,67,63,33.5,63,63,31.5,no
54,54,2,0,2,54,37,27,54,37,27,no
64,66,2,0,2,65,64,32.5,64,64,32,no
132,140,3,0,3,136,124,45.333333,132,124,44,no
177,226,10,0,4,204,159,20.4,182,159,18.2,no
70,72,2,0,2,71,70,35.5,70,70,35,no
36,50,3,0,3,43,36,14.333333,36,36,12,no
58,64,3,0,3,61,57,20.333333,58,57,19.333333,no
62,62,1,0,1,62,62,62,62,62,62,no
132,162,6,0,4,147,129,24.5,132,129,22,no
74,82,4,0,4,78,73,19.5,74,73,18.5,no
83,98,5,1,3,92,82,18.4,86,82,17.2,yes
74,74,1,0,1,74,74,74,74,74,74,no
48,52,2,0,2,50,48,25,48,48,24,no
74,88,3,0,3,81,60,27,74,60,24.666667,no
86,102,4,0,3,94,70,23.5,86,70,21.5,no
355,599,9,0,4,477,241,53,355,180,39.444444,no
53,53,1,0,1,53,53,53,53,53,53,no
798,1160,20,3,5,979,450,48.95,798,450,39.9,yes
75,91,3,0,2,83,39,27.666667,75,39,25,no
125,172,8,1,4,150,78,18.75,128,78,16,no
200,240,10,2,4,219,81,21.9,198,77,19.8,no
134,194,5,0,2,166,82,33.2,138,82,27.6,no
57,65,2,0,2,61,57,30.5,57,57,28.5,no
123,143,5,0,3,133,104,26.6,123,104,24.6,no
204,410,8,0,4,362,187,45.25,314,187,39.25,no
162,162,1,0,1,162,162,162,162,162,162,no
130,141,3,0,1,139,130,46.333333,137,130,45.666667,no
108,124,2,0,1,124,108,62,124,108,62,no
353,369,5,1,2,364,353,72.8,359,353,71.8,no
80,119,5,0,3,113,75,22.6,107,75,21.4,no
28,28,1,0,1,28,28,28,28,28,28,no
57,64,4,0,3,61,52,15.25,58,52,14.5,no
306,508,4,1,3,489,310,122.25,470,310,117.5,yes
340,885,10,1,5,615,428,61.5,345,428,34.5,yes
103,164,2,0,2,134,104,67,104,104,52,no
35,37,2,0,2,36,35,18,35,35,17.5,no
98,100,2,0,2,99,98,49.5,98,98,49,no
117,151,6,1,4,134,78,22.333333,117,78,19.5,yes
84,84,1,0,1,84,84,84,84,84,84,no
132,132,1,1,1,132,132,132,132,132,132,no
98,100,2,1,1,99,94,49.5,98,94,49,no
100,102,2,1,1,101,96,50.5,100,96,50,no
81,81,1,0,1,81,81,81,81,81,81,no
98,98,1,0,1,98,98,98,98,98,98,no
341,341,1,0,1,341,341,341,341,341,341,no
113,171,7,0,4,142,113,20.285714,113,113,16.142857,no
58,68,3,0,2,63,58,21,58,58,19.333333,no
127,153,7,1,4,140,122,20,127,122,18.142857,no
376,508,10,1,4,442,365,44.2,376,365,37.6,no
