Release ID, Filepath, Size, LOC Touched, NR, NFix, NAuth, LOC Added, Max LOC Added, Average LOC Added, Churn, Max Churn, Average Churn, Bugginess
1,storm-core/src/jvm/storm/trident/operation/impl/GroupCollector.java,31,161,7,0,4,161,31,23.0,161,31,23.0,no
1,storm-core/src/jvm/storm/trident/operation/impl/GroupedAggregator.java,79,305,7,0,4,305,79,43.57142857142857,305,79,43.57142857142857,no
1,storm-core/src/jvm/storm/trident/operation/impl/GroupedMultiReducerExecutor.java,78,302,7,0,4,302,78,43.142857142857146,302,78,43.142857142857146,no
1,storm-core/src/jvm/storm/trident/operation/impl/IdentityMultiReducer.java,34,170,7,0,4,170,34,24.285714285714285,170,34,24.285714285714285,no
1,storm-core/src/jvm/storm/trident/operation/impl/IndexHashBatchToPartition.java,12,104,7,0,4,104,17,14.857142857142858,104,17,14.857142857142858,no
1,storm-core/src/jvm/storm/trident/operation/impl/JoinerMultiReducer.java,142,494,7,0,4,494,142,70.57142857142857,494,142,70.57142857142857,no
1,storm-core/src/jvm/storm/trident/operation/impl/ReducerAggStateUpdater.java,36,176,7,0,4,176,36,25.142857142857142,176,36,25.142857142857142,no
1,storm-core/src/jvm/storm/trident/operation/impl/ReducerAggregatorImpl.java,39,185,7,0,4,185,39,26.428571428571427,185,39,26.428571428571427,no
1,storm-core/src/jvm/storm/trident/operation/impl/Result.java,10,98,7,0,4,98,17,14.0,98,17,14.0,no
1,storm-core/src/jvm/storm/trident/operation/impl/SingleEmitAggregator.java,78,302,7,0,4,302,78,43.142857142857146,302,78,43.142857142857146,no
