ProjName, Classifier Name, Training%, Feature Selection, Sampling, Cost Sensitive, Precision, Recall, Kappa, TP, FP, TN, FN, areaUnderROC, fMeasure
STORM,RandomForest,53.22508896797153,no,no,no,0.1522359657469077,0.9968847352024922,-9.513932545577512E-4,320.0,1782.0,0.0,1.0,0.3003337284230327,0.2641353693768056
STORM,RandomForest,53.22508896797153,featureSelection,no,no,0.14375605033881897,0.9252336448598131,-0.020898938645817003,297.0,1769.0,13.0,24.0,0.2675395351927024,0.2488479262672811
STORM,RandomForest,53.22508896797153,no,sampling,no,0.15230842455973345,0.9968847352024922,-7.803186648379403E-4,320.0,1781.0,1.0,1.0,0.3276840750880211,0.26424442609413706
STORM,RandomForest,53.22508896797153,no,no,costSensitive,0.15212207916070578,0.9937694704049844,-0.001219649190377608,319.0,1778.0,4.0,2.0,0.3271596197349053,0.2638544251447477
STORM,RandomForest,53.22508896797153,featureSelection,sampling,no,0.14382566585956416,0.9252336448598131,-0.020733320549031594,297.0,1768.0,14.0,24.0,0.2686627437406254,0.24895222129086333
STORM,RandomForest,53.22508896797153,featureSelection,no,costSensitive,0.11117049706039552,0.6479750778816199,-0.09573859485758647,208.0,1663.0,119.0,113.0,0.26899664698210907,0.18978102189781024
STORM,NaiveBayes,53.22508896797153,no,no,no,0.10933470861268695,0.660436137071651,-0.1006761229233551,212.0,1727.0,55.0,109.0,0.21541042127750332,0.18761061946902655
STORM,NaiveBayes,53.22508896797153,featureSelection,no,no,0.14098201263976665,0.9034267912772586,-0.02740344642071112,290.0,1767.0,15.0,31.0,0.15290845456992913,0.24390243902439024
STORM,NaiveBayes,53.22508896797153,no,sampling,no,0.1046202867764206,0.6137071651090342,-0.11100117158563345,197.0,1686.0,96.0,124.0,0.22228515686459613,0.17876588021778586
STORM,NaiveBayes,53.22508896797153,no,no,costSensitive,0.0855374226223973,0.4735202492211838,-0.15331156801966211,152.0,1625.0,157.0,169.0,0.21550220096429856,0.14489990467111535
STORM,NaiveBayes,53.22508896797153,featureSelection,sampling,no,0.13879352623835214,0.881619937694704,-0.03249552139794778,283.0,1756.0,26.0,38.0,0.13282443682235998,0.23983050847457626
STORM,NaiveBayes,53.22508896797153,featureSelection,no,costSensitive,0.1299800796812749,0.8130841121495327,-0.05302942763299547,261.0,1747.0,35.0,60.0,0.15290845456992913,0.22413052812365822
STORM,IBk,53.22508896797153,no,no,no,0.15164520743919885,0.9906542056074766,-0.002344615088344347,318.0,1779.0,3.0,3.0,0.4516705651181248,0.2630272952853598
STORM,IBk,53.22508896797153,featureSelection,no,no,0.14417029511369134,0.9283489096573209,-0.019926115373685716,298.0,1769.0,13.0,23.0,0.1366311085937254,0.24958123953098832
STORM,IBk,53.22508896797153,no,sampling,no,0.14804063860667635,0.9532710280373832,-0.010819632200706395,306.0,1761.0,21.0,15.0,0.44295062078031966,0.25628140703517593
STORM,IBk,53.22508896797153,no,no,costSensitive,0.15164520743919885,0.9906542056074766,-0.002344615088344347,318.0,1779.0,3.0,3.0,0.4516705651181248,0.2630272952853598
STORM,IBk,53.22508896797153,featureSelection,sampling,no,0.14382566585956416,0.9252336448598131,-0.020733320549031594,297.0,1768.0,14.0,24.0,0.1375550241074644,0.24895222129086333
STORM,IBk,53.22508896797153,featureSelection,no,costSensitive,0.11164529914529915,0.6510903426791277,-0.09465243229214777,209.0,1663.0,119.0,112.0,0.1366311085937254,0.1906064751481988
STORM,RandomForest,59.81109485166955,no,no,no,0.16465459423205903,0.9722772277227723,-0.0060084491572976444,491.0,2491.0,25.0,14.0,0.3220359993074029,0.2816174361915687
STORM,RandomForest,59.81109485166955,featureSelection,no,no,0.1622792402532489,0.9643564356435643,-0.01171280223727802,487.0,2514.0,2.0,18.0,0.3272717971320184,0.2778094694808899
STORM,RandomForest,59.81109485166955,no,sampling,no,0.16479782534828408,0.9603960396039604,-0.0056502047695466285,485.0,2458.0,58.0,20.0,0.3336015835287821,0.2813225058004641
STORM,RandomForest,59.81109485166955,no,no,costSensitive,0.16263812154696133,0.9326732673267327,-0.010773307049319674,471.0,2425.0,91.0,34.0,0.3102567331454926,0.2769773596001176
STORM,RandomForest,59.81109485166955,featureSelection,sampling,no,0.1566711590296496,0.9207920792079208,-0.02510590448440957,465.0,2503.0,13.0,40.0,0.3381286499079161,0.26778001727613016
STORM,RandomForest,59.81109485166955,featureSelection,no,costSensitive,0.13016528925619836,0.6237623762376238,-0.08462937396602904,315.0,2105.0,411.0,190.0,0.31591123738764976,0.21538461538461542
STORM,NaiveBayes,59.81109485166955,no,no,no,0.1552542372881356,0.906930693069307,-0.028461039775115625,458.0,2492.0,24.0,47.0,0.22247477529946955,0.26512301013024603
STORM,NaiveBayes,59.81109485166955,featureSelection,no,no,0.14174620007069635,0.7940594059405941,-0.0602168565283994,401.0,2428.0,88.0,104.0,0.24092540414613797,0.24055188962207558
STORM,NaiveBayes,59.81109485166955,no,sampling,no,0.15282505105513955,0.8891089108910891,-0.0342379117997321,449.0,2489.0,27.0,56.0,0.2224869744526122,0.26081905315132153
STORM,NaiveBayes,59.81109485166955,no,no,costSensitive,0.15321756894790603,0.8910891089108911,-0.03329829524353895,450.0,2487.0,29.0,55.0,0.22247477529946955,0.26147588611272515
STORM,NaiveBayes,59.81109485166955,featureSelection,sampling,no,0.13659058487874465,0.7584158415841584,-0.07229502226898399,383.0,2421.0,95.0,122.0,0.24359898628972596,0.23148987609549715
