Filename,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
RandomForest_sampling_7.csv,709,0.013207547169811321,0.4117647058823529,0.025594149908592323,0.011209795691026448,0.2185143288084464,0.31494281764484094,-0.11502539606676783,0.058823529411764705,0.08823529411764706,0.20588235294117646,0.3235294117647059,0.4411764705882353,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.5588235294117647,0.5882352941176471,0.6176470588235294,0.6470588235294118,0.7352941176470589,0.8529411764705882,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9117647058823529,1.0,0.22910216718266257,0.058823529411764705,0.08823529411764706,0.20588235294117646,0.3235294117647059,0.4411764705882353,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.5588235294117647,0.5882352941176471,0.6176470588235294,0.6470588235294118,0.7352941176470589,0.8529411764705882,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9117647058823529,1.0,0.5882352941176471,0.05882352941176472,0.08823529411764708,0.2058823529411764,0.32352941176470584,0.4411764705882353,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.5588235294117647,0.5882352941176471,0.6176470588235294,0.6470588235294118,0.7352941176470589,0.8529411764705882,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9117647058823529,1,0.5882352941176471,
NaiveBayes__12.csv,66,0.04140650673677292,0.875,0.07907122685911515,0.03741300629716136,0.7337189796071375,0.03114940352206013,-0.16032777918932353,0.23076923076923078,0.32167832167832167,0.46153846153846156,0.5874125874125874,0.6713286713286714,0.7482517482517482,0.8181818181818182,0.8321678321678322,0.8531468531468531,0.8741258741258742,0.8881118881118881,0.8951048951048951,0.8951048951048951,0.916083916083916,0.916083916083916,0.9300699300699301,0.972027972027972,0.972027972027972,1.0,0.5285087719298245,0.23076923076923078,0.32167832167832167,0.46153846153846156,0.5874125874125874,0.6713286713286714,0.7482517482517482,0.8181818181818182,0.8321678321678322,0.8531468531468531,0.8741258741258742,0.8881118881118881,0.8951048951048951,0.8951048951048951,0.916083916083916,0.916083916083916,0.9300699300699301,0.972027972027972,0.972027972027972,1.0,0.7134502923976607,0.22916666666666674,0.3194444444444444,0.45833333333333337,0.5833333333333333,0.6666666666666666,0.7430555555555555,0.8125,0.8263888888888888,0.8472222222222221,0.8680555555555556,0.8819444444444444,0.8888888888888888,0.8888888888888888,0.9097222222222221,0.9097222222222221,0.923611111111111,0.9652777777777777,0.8333333333333327,0.0,0.7780640412219361,
IBk__5.csv,230,0.22969187675070027,0.9389312977099237,0.3690922730682671,0.20171998680445571,0.7574455005871991,0.016677481525960554,-0.1566373251424358,0.3218390804597701,0.524904214559387,0.6436781609195402,0.7394636015325671,0.789272030651341,0.8582375478927203,0.8812260536398467,0.896551724137931,0.9118773946360154,0.9157088122605364,0.9272030651340997,0.9425287356321839,0.9425287356321839,0.9425287356321839,0.9425287356321839,0.9425287356321839,0.9425287356321839,0.9425287356321839,1.0,0.44901518536977325,0.3218390804597701,0.524904214559387,0.6436781609195402,0.7394636015325671,0.789272030651341,0.8582375478927203,0.8812260536398467,0.896551724137931,0.9118773946360154,0.9157088122605364,0.9272030651340997,0.9425287356321839,0.9425287356321839,0.9425287356321839,0.9425287356321839,0.9425287356321839,0.9425287356321839,0.9425287356321839,1.0,0.7256969959699905,0.35744680851063837,0.5310077519379846,0.6412213740458015,0.7366412213740459,0.7862595419847328,0.8549618320610687,0.8778625954198473,0.8931297709923665,0.9083969465648855,0.9122137404580152,0.9236641221374046,0.9389312977099236,0.9389312977099236,0.9389312977099236,0.9389312977099236,0.9006211180124223,0.7090909090909088,0,0.0,0.8425085702762655,
RandomForest_featureSelection_costSensitive_2.csv,76,0.15263908701854492,1.0,0.26485148514851486,0.14585241215149716,0.0978913398435724,0.0,0,0.21806853582554517,0.34890965732087226,0.46417445482866043,0.573208722741433,0.6510903426791277,0.7227414330218068,0.7632398753894081,0.8411214953271028,0.8691588785046729,0.9096573208722741,0.9345794392523364,0.956386292834891,0.9750778816199377,0.9875389408099688,0.9968847352024922,0.9968847352024922,1.0,1.0,1.0,0.357661927143444,0.21806853582554517,0.34890965732087226,0.46417445482866043,0.573208722741433,0.6510903426791277,0.7227414330218068,0.7632398753894081,0.8411214953271028,0.8691588785046729,0.9096573208722741,0.9345794392523364,0.956386292834891,0.9750778816199377,0.9875389408099688,0.9968847352024922,0.9968847352024922,1.0,1.0,1.0,0.8017988514542194,0.25,0.3601286173633441,0.46562500000000007,0.573208722741433,0.6510903426791277,0.7227414330218068,0.7632398753894081,0.8411214953271028,0.8691588785046729,0.9096573208722741,0.9345794392523364,0.956386292834891,0.9750778816199377,0.9875389408099688,0.9928057553956835,0.9818181818181818,1.0,1.0,1,0.8004590916543696,
NaiveBayes__15.csv,0,0.1583547557840617,0.875,0.26817588158467565,0.14559930281231812,0.7641150680028633,0.016796640671865613,-0.2644676939282207,0.12535612535612536,0.2222222222222222,0.27635327635327633,0.3475783475783476,0.41595441595441596,0.46153846153846156,0.5242165242165242,0.5811965811965812,0.6524216524216524,0.7207977207977208,0.792022792022792,0.8376068376068376,0.8774928774928775,0.905982905982906,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9572649572649573,1.0,0.09095012579990513,0.12535612535612536,0.2222222222222222,0.27635327635327633,0.3475783475783476,0.41595441595441596,0.46153846153846156,0.5242165242165242,0.5811965811965812,0.6524216524216524,0.7207977207977208,0.792022792022792,0.8376068376068376,0.8774928774928775,0.905982905982906,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9572649572649573,1.0,0.20657817299591297,0.18884120171673824,0.28888888888888886,0.32441471571906355,0.3800623052959502,0.43452380952380953,0.4682080924855492,0.5242165242165242,0.5811965811965812,0.3612565445026178,0.21428571428571408,0.15909090909090906,0.0,0,0,0,0,0,0,0.0,0.6566201829359724,
RandomForest_sampling_5.csv,373,0.125193199381762,0.30916030534351147,0.1782178217821782,0.11935116131811462,0.2435545728126835,0.3143474074290216,-0.32220354242722266,0.14942528735632185,0.30268199233716475,0.44061302681992337,0.6015325670498084,0.6666666666666666,0.7318007662835249,0.7777777777777778,0.8314176245210728,0.8620689655172413,0.89272030651341,0.9042145593869731,0.9348659003831418,0.9425287356321839,0.9731800766283525,0.9731800766283525,0.9731800766283525,0.9731800766283525,0.9731800766283525,1.0,0.48877978341132894,0.14942528735632185,0.30268199233716475,0.44061302681992337,0.6015325670498084,0.6666666666666666,0.7318007662835249,0.7777777777777778,0.8314176245210728,0.8620689655172413,0.89272030651341,0.9042145593869731,0.9348659003831418,0.9425287356321839,0.9731800766283525,0.9731800766283525,0.9731800766283525,0.9731800766283525,0.9731800766283525,1.0,0.6946290974491023,0.16595744680851066,0.3062015503875969,0.43893129770992356,0.599236641221374,0.66412213740458,0.7290076335877862,0.7748091603053435,0.8282442748091603,0.8587786259541984,0.8893129770992366,0.9007633587786259,0.9312977099236641,0.9389312977099236,0.9694656488549618,0.9694656488549618,0.9503105590062111,0.8545454545454544,0.42857142857142794,0.0,0.7844323452308933,
IBk_featureSelection_costSensitive_12.csv,531,0.04633204633204633,1.0,0.08856088560885608,0.04212954478001458,0.7464036024891287,0.0,0,0.22916666666666666,0.3472222222222222,0.4652777777777778,0.5902777777777778,0.7013888888888888,0.7569444444444444,0.8611111111111112,0.8958333333333334,0.9027777777777778,0.9097222222222222,0.9305555555555556,0.9444444444444444,0.9513888888888888,0.9652777777777778,0.9861111111111112,1.0,1.0,1.0,1.0,0.4167397660818714,0.22916666666666666,0.3472222222222222,0.4652777777777778,0.5902777777777778,0.7013888888888888,0.7569444444444444,0.8611111111111112,0.8958333333333334,0.9027777777777778,0.9097222222222222,0.9305555555555556,0.9444444444444444,0.9513888888888888,0.9652777777777778,0.9861111111111112,1.0,1.0,1.0,1.0,0.8125,0.22916666666666663,0.3472222222222222,0.4652777777777778,0.5902777777777778,0.7013888888888888,0.7569444444444444,0.8611111111111112,0.8958333333333334,0.9027777777777778,0.9097222222222222,0.9305555555555556,0.9444444444444444,0.9513888888888888,0.9652777777777778,0.9861111111111112,1.0,1.0,1.0,1,0.8125,
RandomForest_featureSelection_sampling_2.csv,131,0.08269794721407625,0.4392523364485981,0.13919052319842054,0.07869324920877172,0.15389268244927645,0.19137093761673518,-0.40251889132698604,0.10903426791277258,0.16199376947040497,0.22741433021806853,0.27102803738317754,0.32087227414330216,0.3613707165109034,0.3925233644859813,0.40809968847352024,0.42990654205607476,0.4392523364485981,0.5295950155763239,0.8006230529595015,0.897196261682243,0.9595015576323987,0.9937694704049844,0.9968847352024922,1.0,1.0,1.0,0.524492850379572,0.10903426791277258,0.16199376947040497,0.22741433021806853,0.27102803738317754,0.32087227414330216,0.3613707165109034,0.3925233644859813,0.40809968847352024,0.42990654205607476,0.4392523364485981,0.5295950155763239,0.8006230529595015,0.897196261682243,0.9595015576323987,0.9937694704049844,0.9968847352024922,1.0,1.0,1.0,0.5946171638057285,0.125,0.16720257234726688,0.22812500000000002,0.2710280373831775,0.3208722741433021,0.36137071651090347,0.39252336448598135,0.4080996884735202,0.4299065420560748,0.43925233644859807,0.5295950155763239,0.8006230529595015,0.897196261682243,0.9595015576323987,0.9856115107913669,0.9818181818181818,1.0,1.0,1,0.5946876537137236,
NaiveBayes_featureSelection_sampling_4.csv,31,0.25,0.6845637583892618,0.36624775583482944,0.23009371302062934,0.34254623535251083,0.03141651523084969,-0.4424192325366571,0.19528619528619529,0.32323232323232326,0.4107744107744108,0.5185185185185185,0.5824915824915825,0.6094276094276094,0.6498316498316499,0.6936026936026936,0.7441077441077442,0.8080808080808081,0.8619528619528619,0.9023569023569024,0.9225589225589226,0.9225589225589226,0.9225589225589226,0.9292929292929293,0.9696969696969697,0.98989898989899,1.0,0.0802627613421441,0.19528619528619529,0.32323232323232326,0.4107744107744108,0.5185185185185185,0.5824915824915825,0.6094276094276094,0.6498316498316499,0.6936026936026936,0.7441077441077442,0.8080808080808081,0.8619528619528619,0.9023569023569024,0.9225589225589226,0.9225589225589226,0.9225589225589226,0.9292929292929293,0.9696969696969697,0.98989898989899,1.0,0.15959178812354366,0.3052631578947369,0.44036697247706424,0.5147679324894514,0.611111111111111,0.650375939849624,0.4025157232704403,0.10784313725490213,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7345383661173134,
IBk_sampling_5.csv,128,0.1452991452991453,0.3893129770992366,0.21161825726141079,0.13917861075224416,0.5418838079859072,0.32494781940019773,-0.2953456585534828,0.22900763358778625,0.30916030534351147,0.35877862595419846,0.3893129770992366,0.3893129770992366,0.3893129770992366,0.3969465648854962,0.5725190839694656,0.7862595419847328,0.8854961832061069,0.9618320610687023,0.9923664122137404,0.9961832061068703,1.0,1.0,1.0,1.0,1.0,1.0,0.6689169479192897,0.22900763358778625,0.30916030534351147,0.35877862595419846,0.3893129770992366,0.3893129770992366,0.3893129770992366,0.3969465648854962,0.5725190839694656,0.7862595419847328,0.8854961832061069,0.9618320610687023,0.9923664122137404,0.9961832061068703,1.0,1.0,1.0,1.0,1.0,1.0,0.7203996446313309,0.25531914893617014,0.313953488372093,0.3587786259541985,0.3893129770992366,0.3893129770992366,0.3893129770992366,0.3969465648854962,0.5725190839694656,0.7862595419847328,0.8854961832061069,0.9618320610687023,0.9923664122137404,0.9961832061068703,1.0,1.0,1.0,1.0,1.0,1,0.7187625552430695,
